mean_U,p_exposure,p_outcome,OR_exposure_Uyes,ub_OR_exposure_Uyes,lb_OR_exposure_Uyes,OR_exposure_Uno,ub_OR_exposure_Uno,lb_OR_exposure_Uno,log_OR_exposure_Uyes,log_OR_exposure_Uno,covg_OR_exposure_Uyes,covg_OR_exposure_Uno
0.017492455878075946,0.2216,0.1234,1.1399743279039538,1.3864620150583908,0.9342603943634693,1.7406821087278166,2.0914324554828383,1.4446091607474154,0.13100574277034233,0.5542770529182803,1,0
-0.016213891302076844,0.2122,0.1176,1.0281569882518151,1.2608224507194787,0.8350629886352489,1.622779072163271,1.964046718633435,1.3359550299527565,0.02776786768084913,0.4841401561388696,1,0
0.019961980166716707,0.2332,0.1146,1.0273341892418504,1.2577623326041871,0.8359764744182985,1.5685491581935567,1.8949028873133253,1.2941387777997015,0.026967281365596767,0.45015108905232026,1,0
0.0015238838784321074,0.2262,0.1134,1.02751624887011,1.260790217326676,0.8341936185411574,1.5927190557413535,1.9277633672668901,1.3113667540733036,0.027144481248721337,0.46544265363006504,1,0
0.016102840579669712,0.2208,0.1156,1.0099468261394198,1.2387725786279322,0.8201546925079358,1.5560313963757604,1.8839423543086067,1.2805152997563467,0.00989768208053268,0.4421386031720177,1,0
-0.014890241667136496,0.2204,0.115,1.0274193518003016,1.259981659603293,0.8343908592162227,1.5128988687285485,1.8339913424803034,1.2432599594098557,0.027050174575705875,0.41402759101805775,1,0
-4.762322265227145e-4,0.2084,0.1144,0.8530677471600866,1.0562743346752859,0.6852924482661938,1.3084909121756472,1.5990441779480198,1.0653190286870553,-0.15891631241670195,0.2688744977409015,1,0
-0.018316251443220508,0.2216,0.1192,0.9972260443766845,1.2200556685128954,0.8119009100076341,1.5173942135523146,1.8337243061147657,1.2511003446007463,-0.0027778101680898917,0.4169945305181743,1,0
-0.02348232911155112,0.2252,0.1152,1.0641820870011895,1.3024243194305654,0.8663677826884936,1.6398659809177942,1.9814729883500006,1.3527041097527335,0.06220651067724597,0.494614519544367,1,0
0.0018305483593922909,0.2232,0.123,1.0041775742565704,1.2249338605464901,0.8201618094862665,1.5530361828428483,1.8706265229668386,1.2850742422460535,0.004168872419863593,0.4402118425705092,1,0
0.010955929675863552,0.2166,0.1164,1.1443984737166157,1.3988856485945764,0.9327588442207964,1.6621296783329609,2.009940139913329,1.3698078878827327,0.13487914849545912,0.5080997188605233,1,0
