OR_AY_S1,OR_AY_all,mean_U,mean_U_A1_all,mean_U_A0_all,mean_U_A1_S1,mean_U_A0_S1,p_A,p_Y,p_S,p_S_A1,p_S_A0,p_Y_A0,p_Y_A1,p_Y_A0_S1,p_Y_A1_S1,ub_OR_AY_all,lb_OR_AY_all,ub_OR_AY_S1,lb_OR_AY_S1,log_OR_AY_S1,log_OR_AY_all,covg_OR_AY_S1,covg_OR_AY_all
0.644561236839931,1.066969530650358,-0.009190767064345495,0.0036475335289886243,-0.012408370164525782,0.650307723385756,0.9685889297600233,0.2004,0.1058,0.2262,0.4301397205588822,0.17508754377188596,0.10455227613806903,0.11077844311377245,0.2671428571428571,0.1902552204176334,1.3271958578698106,0.8514008774746098,0.8614390752391312,0.47908537702281895,-0.43918544662473874,0.06482241582037253,0,1
0.5486720364088546,0.9895763519953832,-0.003314222955724126,0.08842479366668943,-0.025991540359767987,0.6940005117650898,0.9564018283929886,0.1982,0.1098,0.226,0.4429868819374369,0.172362185083562,0.11000249438762784,0.10898082744702321,0.2633863965267728,0.16400911161731208,1.232123176899447,0.7885379842534439,0.7407864568312255,0.4029393163329539,-0.6002543995677062,-0.010478354717898848,0,1
0.6482961848315345,0.9261831220623735,-4.1412927906142263e-4,0.02548733242277985,-0.007003211608631681,0.6525637298619192,0.9959953378304028,0.2028,0.1094,0.2252,0.4171597633136095,0.17636728549924738,0.11088810837932765,0.10355029585798817,0.26458036984352773,0.18912529550827423,1.1552623610273924,0.736437967926071,0.868405946311688,0.4806302581975201,-0.4334076116996777,-0.07668330788021642,0,1
0.5814605135233332,0.9805279236212737,0.010454139022429728,0.06874237616377393,-0.004779618212290907,0.727937962036529,1.0266457777887896,0.2072,0.1106,0.2254,0.41505791505791506,0.17583249243188698,0.11099899091826437,0.10907335907335908,0.2883787661406026,0.19069767441860466,1.2163604191594966,0.7845849196413904,0.7754571068203548,0.4329624385096422,-0.5422122138460879,-0.019664154790240508,0,1
0.5536175387728103,0.9152334238008443,0.005858425461132235,0.035775821647478744,-0.0014348701265840776,0.7144238347039845,0.9763935707325218,0.196,0.1088,0.2142,0.39591836734693875,0.1699004975124378,0.11044776119402985,0.10204081632653061,0.27379209370424595,0.17268041237113402,1.146132614638807,0.7244438909813774,0.7533248651450697,0.4029871797225036,-0.5912811938712522,-0.08857613826205836,0,1
0.5707679603617332,0.901876168187888,-0.004035207025955589,0.003674541391197027,-0.005967465133506095,0.6480077990537729,1.0027374943647425,0.2004,0.1054,0.2146,0.4171656686626746,0.163831915957979,0.10730365182591296,0.09780439121756487,0.26717557251908397,0.1722488038277512,1.1316934456342034,0.712290135180459,0.7731884015330338,0.4179096779326837,-0.5607725260660548,-0.10327805416681515,0,1
0.788482989401366,1.0778021703252372,0.02284684893905694,0.02602837068933689,0.02204250029309541,0.6939726030489807,1.0483331324071647,0.2018,0.11,0.2218,0.4093161546085233,0.17439238286143824,0.10849411175144075,0.1159563924677899,0.25287356321839083,0.2106537530266344,1.3345942844366803,0.8643735959413253,1.0530749797629897,0.5871557741324642,-0.23764444617717284,0.07492394017754135,1,1
0.49112043913337877,0.8280139542645443,-0.008410609532278691,0.013071302045999851,-0.01370077120708906,0.6698109689121318,0.92886518406784,0.1976,0.1012,0.2166,0.39068825910931176,0.17372881355932204,0.10443668993020937,0.08805668016194332,0.27259684361549497,0.15544041450777202,1.0496725973150947,0.6463167421614683,0.6739829904844332,0.35372081135883415,-0.7110658877164912,-0.18872527176238443,0,1
0.6463473633272172,0.9124507667392705,-0.008293930239381797,-0.03600472893916654,-0.0011659073402417923,0.6359408118365971,0.9610409127063374,0.2046,0.1096,0.2188,0.3890518084066471,0.17500628614533567,0.11139049534825245,0.10263929618768329,0.2801724137931034,0.20100502512562815,1.1379787447992011,0.7256074130778677,0.8660018854766528,0.4790379092343173,-0.4364182055871548,-0.09162114923940753,0,1
0.6095608844579093,0.950155218059,0.01848873405531091,-0.007202184505257432,0.0249436094894477,0.6663816270814358,0.9860154939621395,0.2008,0.1054,0.2262,0.4103585657370518,0.17992992992992993,0.10635635635635636,0.10159362549800798,0.26425591098748263,0.1796116504854369,1.1888261440840995,0.7529885671853309,0.8207931754513133,0.44901420023134575,-0.495016442583924,-0.05112992030329667,0,1
